publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_name	package_id	vendor_name	vendor_id	resource_type	package_content_type
Chrismon : das evangelische Magazin									https://chrismon.evangelisch.de/		898145341		fulltext		Hansisches Druck- und Verlagshaus GmbH (HDV)	serial								P					Journal	EJournal
Selbstorganisation ‰lterer Menschen : Beispiele guter Praxis									"http://www.bmfsfj.de/RedaktionBMFSFJ/Broschuerenstelle/Pdf-Anlagen/Selbstorganisation-_C3_A4lterer-Menschen_3A_20Beispiele-guter-Praxis,property=pdf,b"		538314540		fulltext			monograph		2007			"Breithecker, Renate"			P					Book	EBook
Neue Wohn- und Betreuungsformen im heimrechtlichen Kontext									"http://www.bmfsfj.de/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/croe_C3_9Fmann,property=pdf,bereich=,rwb=true.pdf"		538452846		fulltext			monograph		2005		Stand: September 2005	"Crˆﬂmann, Gunter"			P					Book	EBook
"Abschlussbericht der wissenschaftlichen Begleitung des Modellprojekts Kommunikations- und Begegnungsmˆglichkeiten ‰lterer Menschen mit und ohne Behinderung in der Begegnungsst‰tte Bergstedt"""""									"http://www.bmfsfj.de/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/abschlussbericht-bergstedt,property=pdf,bereich=,rwb=true.pdf"		538482834		fulltext			monograph		2005		Stand: Juli 2005	"Langhanky, Michael"			P					Book	EBook
Mˆglichkeiten und Grenzen selbstst‰ndiger Lebensf¸hrung in Privathaushalten : Ergebnisse der Studie MuG III									"http://www.bmfsfj.de/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/selbststaendigkeit-im-alter-kurzfassung,property=pdf,bereich=,rwb=true.pdf"		538502622		fulltext			monograph		2005		Stand: Juni 2005				P					Book	EBook
Leben mit Hilfe und Pflege zu Hause : Mˆglichkeiten und Grenzen ; Zentrale Ergebnisse des Forschungsprojekts MuG III im ‹berblick									"http://www.bmfsfj.de/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/selbststaendigkeit-im-alter-ergebnisse,property=pdf,bereich=,rwb=true.pdf"		538504560		fulltext			monograph		2005			"Schneekloth, Ulrich"			P					Book	EBook
IAB-Kurzbericht	0942-167X								https://hdl.handle.net/10419/158033		345860101		fulltext		IAB	serial								P					Journal	EJournal
IAT-Report		1619-1943							http://www.iaq.uni-due.de/iat-report/index.php		363777229		fulltext		IAT	serial								P					Journal	EJournal
Verhandlungen des Deutschen Bundestages	0722-8333|0722-8333								http://pdok.bundestag.de/		338768939		fulltext		Bundestag	serial								P					Journal	EJournal
Siebter Familienbericht : Familie zwischen Flexibilit‰t und Verl‰sslichkeit - Perspektiven f¸r eine lebenslaufbezogene Familienpolitik und Stellungnahme der Bundesregierung ; Unterrichtung durch die Bundesregierung									http://dip.bundestag.de/btd/16/013/1601360.pdf		527951684		fulltext		Bundestag	monograph		2006						P					Book	EBook
Aktuelle Forschung und Projekte zum Thema Demenz									"http://www.bmfsfj.de/bmfsfj/generator/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/demenz-deutsch,property=pdf,bereich=,sprache=de,rwb=true.pdf"		539055182		fulltext			monograph		2006		Stand: September 2006				P					Book	EBook
Entb¸rokratisierung im Heimrecht : 10 Eckpunkte									"http://www.bmfsfj.de/bmfsfj/generator/RedaktionBMFSFJ/Pressestelle/Pdf-Anlagen/eckpunkte-entbuerokratisierung,property=pdf,bereich=,sprache=de,rwb=tru"		539331880		fulltext			monograph		2006						P					Book	EBook
Bundesweite Erhebung der Ausbildungsstrukturen an Altenpflegeschulen (BEA)									"http://www.bmfsfj.de/RedaktionBMFSFJ/Broschuerenstelle/Pdf-Anlagen/Ausbildungsstruk-Altenpflegeschulen-Bericht,property=pdf,bereich=,rwb=true.pdf"		539335703		fulltext			monograph		2006			"Gˆrres, Stefan"			P					Book	EBook
"Erster Bericht des Bundesministeriums f¸r Familie, Senioren, Frauen und Jugend ¸ber die Situation der Heime und die Betreuung der Bewohnerinnen und Bewohner"									"http://www.bmfsfj.de/bmfsfj/generator/Publikationen/heimbericht/01-Redaktion/PDF-Anlagen/gesamtdokument,property=pdf,bereich=heimbericht,sprache=de,rw"		539341541		fulltext			monograph		2006		Stand: 15.08.2006				P					Book	EBook
F¸nfter Bericht zur Lage der ‰lteren Generation in der Bundesrepublik Deutschland : Potenziale des Alters in Wirtschaft und Gesellschaft ; der Beitrag ‰lterer Menschen zum Zusammenhalt der Generationen									"http://www.bmfsfj.de/RedaktionBMFSFJ/Abteilung3/Pdf-Anlagen/fuenfter-altenbericht,property=pdf,bereich=,rwb=true.pdf"		539350672		fulltext			monograph		2005						P					Book	EBook
