publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	own_anchor	package:collection	all_issns	zdb_id
3 Biotech	2190-572X	2190-5738	2020	10	1				https://link.springer.com/journal/volumesAndIssues/13205		338920		fulltext		Springer	Serial		DESPR:deal_springer_current	2190-572X;2190-5738	2600522-0
3 Biotech	2190-572X	2190-5738	2020	10	1				https://link.springer.com/journal/volumesAndIssues/13205		338920		fulltext		Springer	Serial		DESPR:deal_springer_current	2190-572X;2190-5738	2600522-0
3 Biotech	2190-572X	2190-5738	2011	1					https://link.springer.com/journal/volumesAndIssues/13205		338920		fulltext		Springer	Serial		DESPR:deal_springer	2190-572X;2190-5738	2600522-0
3 Biotech	2190-572X	2190-5738	2011	1					https://link.springer.com/journal/volumesAndIssues/13205		338920		fulltext		Springer	Serial		DESPR:deal_springer	2190-572X;2190-5738	2600522-0
4OR : A Quarterly Journal of Operations Research	1619-4500	1614-2411	2003	1	1				https://link.springer.com/journal/volumesAndIssues/10288		34422		fulltext		Springer	Serial		DESPR:deal_springer	1619-4500;1614-2411	2106212-2
4OR : A Quarterly Journal of Operations Research	1619-4500	1614-2411	2003	1	1				https://link.springer.com/journal/volumesAndIssues/10288		34422		fulltext		Springer	Serial		DESPR:deal_springer	1619-4500;1614-2411	2106212-2
4OR : A Quarterly Journal of Operations Research	1619-4500	1614-2411	2020	18	1				https://link.springer.com/journal/volumesAndIssues/10288		34422		fulltext		Springer	Serial		DESPR:deal_springer_current	1619-4500;1614-2411	2106212-2
4OR : A Quarterly Journal of Operations Research	1619-4500	1614-2411	2020	18	1				https://link.springer.com/journal/volumesAndIssues/10288		34422		fulltext		Springer	Serial		DESPR:deal_springer_current	1619-4500;1614-2411	2106212-2
AACE Clinical Case Reports		2376-0605	2015	1		2025	11	2	https://www.sciencedirect.com/science/journal/23760605		465016		fulltext		Elsevier ; American Association of Clinical Endocrinologists	Serial		ELDEA:deal_elsevier_core	2376-0605	3008277-8
AACE Endocrinology and Diabetes		3050-9157	2025	1					https://www.sciencedirect.com/journal/aace-endocrinology-and-diabetes		534761		fulltext		Elsevier ; American Association of Clinical Endocrinologists	Serial		ELDEA:deal_elsevier_core	3050-9157	3221324-4
AAPS Journal, The		1522-1059	1999	1	2				https://link.springer.com/journal/volumesAndIssues/12248		103057		fulltext		Springer	Serial		DESPR:deal_springer	1522-1059;1550-7416	2170248-2
AAPS Journal, The		1522-1059	1999	1	2				https://link.springer.com/journal/volumesAndIssues/12248		103057		fulltext		Springer	Serial		DESPR:deal_springer	1522-1059;1550-7416	2170248-2
AAPS Journal, The		1522-1059	2020	22	1				https://link.springer.com/journal/volumesAndIssues/12248		103057		fulltext		Springer	Serial		DESPR:deal_springer_current	1522-1059;1550-7416	2170248-2
AAPS Journal, The		1522-1059	2020	22	1				https://link.springer.com/journal/volumesAndIssues/12248		103057		fulltext		Springer	Serial		DESPR:deal_springer_current	1522-1059;1550-7416	2170248-2
AAPS PharmSciTech		1530-9932	2000	1	1				https://link.springer.com/journal/volumesAndIssues/12249		11542		fulltext		Springer	Serial		DESPR:deal_springer	1530-9932	2052070-0
AAPS PharmSciTech		1530-9932	2000	1	1				https://link.springer.com/journal/volumesAndIssues/12249		11542		fulltext		Springer	Serial		DESPR:deal_springer	1530-9932	2052070-0
AAPS PharmSciTech		1530-9932	2020	21	1				https://link.springer.com/journal/volumesAndIssues/12249		11542		fulltext		Springer	Serial		DESPR:deal_springer_current	1530-9932	2052070-0
AAPS PharmSciTech		1530-9932	2020	21	1				https://link.springer.com/journal/volumesAndIssues/12249		11542		fulltext		Springer	Serial		DESPR:deal_springer_current	1530-9932	2052070-0
Abacus	0001-3072	1467-6281	1997	33					https://onlinelibrary.wiley.com/journal/14676281		2567		fulltext		Wiley-Blackwell - SSH 	Serial		WIDEA:deal_wiley	0001-3072;1467-6281	1480492-X
